key	high	low
1083	255	255
1084	255	255
1085	255	255
1086	255	255
1087	255	255
1088	10	6
1089	255	255
1090	255	255
1091	255	255
1092	255	255
1093	255	255
1094	42	5
1095	20	17
1096	255	255
1097	255	255
1098	255	255
1099	255	255
1100	255	255
1101	28	27
1102	255	255
1103	41	31
1104	255	255
1105	255	255
1106	255	255
1107	255	255
1108	255	255
1109	255	255
1110	27	23
1111	255	255
1112	255	255
1113	255	255
1114	255	255
1115	255	255
1116	34	18
1117	255	255
1118	255	255
1119	255	255
1120	255	255
1121	34	30
1122	42	2
1123	255	255
1124	42	1
1125	255	255
1126	42	255
1127	42	0
1128	255	255
1129	255	255
1130	255	255
1131	255	255
1132	255	255
1133	255	255
1134	42	3
1135	255	255
1136	255	255
1137	255	255
1138	255	255
1139	255	255
1140	255	255
1141	255	255
1142	42	4
1143	255	255
1144	25	13
1145	255	255
1146	255	255
1147	255	255
1148	31	9
1149	255	255
1150	255	255
1151	255	255
1152	10	7
1153	255	255
1154	255	255
1155	255	255
1156	255	255
1157	255	255
1158	255	255
1159	22	3
1160	255	255
1161	255	255
1162	255	255
1163	22	2
1164	36	33
1165	22	1
1166	22	0
1167	22	255
1168	255	255
1169	255	255
1170	255	255
1171	255	255
1172	255	255
1173	255	255
1174	38	21
1175	41	26
1176	255	255
1177	255	255
1178	255	255
1179	255	255
1180	255	255
1181	255	255
1182	255	255
1183	22	4
1184	255	255
1185	255	255
1186	255	255
1187	255	255
1188	26	9
1189	255	255
1190	39	28
1191	255	255
1192	255	255
1193	255	255
1194	255	255
1195	255	255
1196	255	255
1197	255	255
1198	255	255
1199	22	5
1200	21	15
1201	255	255
1202	255	255
1203	32	17
1204	255	255
1205	255	255
1206	255	255
1207	255	255
1208	255	255
1209	255	255
1210	255	255
1211	255	255
1212	255	255
1213	39	23
1214	255	255
1215	13	12
1216	43	20
1217	255	255
1218	255	255
1219	255	255
1220	255	255
1221	255	255
1222	255	255
1223	255	255
1224	255	255
1225	255	255
1226	34	12
1227	255	255
1228	255	255
1229	255	255
1230	255	255
1231	22	6
1232	255	255
1233	255	255
1234	255	255
1235	255	255
1236	255	255
1237	255	255
1238	255	255
1239	255	255
1240	255	255
1241	255	255
1242	255	255
1243	35	33
1244	255	255
1245	255	255
1246	255	255
1247	40	20
1248	255	255
1249	255	255
1250	255	255
1251	255	255
1252	255	255
1253	255	255
1254	42	7
1255	255	255
1256	255	255
1257	255	255
1258	28	16
1259	255	255
1260	255	255
1261	255	255
1262	255	255
1263	255	255
1264	255	255
1265	23	16
1266	255	255
1267	255	255
1268	255	255
1269	255	255
1270	255	255
1271	255	255
1272	32	11
1273	255	255
1274	255	255
1275	255	255
1276	255	255
1277	255	255
1278	255	255
1279	255	255
1280	10	8
1281	255	255
1282	255	255
1283	27	17
1284	255	255
1285	19	18
1286	255	255
1287	255	255
1288	255	255
1289	28	20
1290	255	255
1291	255	255
1292	255	255
1293	255	255
1294	255	255
1295	255	255
1296	29	22
1297	255	255
1298	23	20
1299	255	255
1300	255	255
1301	255	255
1302	255	255
1303	255	255
1304	255	255
1305	41	13
1306	255	255
1307	255	255
1308	255	255
1309	255	255
1310	255	255
1311	255	255
1312	255	255
1313	255	255
1314	255	255
1315	43	16
1316	255	255
1317	255	255
1318	24	22
1319	255	255
1320	255	255
1321	255	255
1322	13	9
1323	255	255
1324	255	255
1325	255	255
1326	31	25
1327	255	255
1328	255	255
1329	26	12
1330	255	255
1331	35	21
1332	255	255
1333	255	255
1334	255	255
1335	255	255
1336	30	19
1337	255	255
1338	255	255
1339	255	255
1340	40	16
1341	255	255
1342	255	255
1343	255	255
1344	255	255
1345	255	255
1346	31	30
1347	255	255
1348	255	255
1349	255	255
1350	255	255
1351	255	255
1352	27	11
1353	255	255
1354	255	255
1355	255	255
1356	255	255
1357	255	255
1358	255	255
1359	255	255
1360	255	255
1361	255	255
1362	255	255
1363	255	255
1364	25	19
1365	255	255
1366	255	255
1367	255	255
1368	33	15
1369	255	255
1370	255	255
1371	255	255
1372	255	255
1373	255	255
1374	255	255
1375	34	9
1376	255	255
1377	255	255
1378	255	255
1379	255	255
1380	36	21
1381	255	255
1382	42	8
1383	255	255
1384	255	255
1385	255	255
1386	255	255
1387	255	255
1388	41	34
1389	255	255
1390	255	255
1391	43	39
1392	40	39
1393	255	255
1394	255	255
1395	255	255
1396	255	255
1397	255	255
1398	255	255
1399	255	255
1400	255	255
1401	255	255
1402	255	255
1403	255	255
1404	255	255
1405	255	255
1406	38	33
1407	31	18
1408	255	255
1409	255	255
1410	255	255
1411	255	255
1412	43	27
1413	255	255
1414	255	255
1415	255	255
1416	255	255
1417	255	255
1418	255	255
1419	255	255
1420	255	255
1421	255	255
1422	255	255
1423	22	8
1424	255	255
1425	255	255
1426	255	255
1427	19	12
1428	255	255
1429	255	255
1430	255	255
1431	255	255
1432	255	255
1433	255	255
1434	30	26
1435	40	27
1436	255	255
1437	255	255
1438	255	255
1439	29	10
1440	255	255
1441	255	255
1442	255	255
1443	39	11
1444	17	16
1445	255	255
1446	255	255
1447	26	18
1448	255	255
1449	24	10
1450	255	255
1451	255	255
1452	255	255
1453	255	255
1454	255	255
1455	255	255
1456	255	255
1457	255	255
1458	255	255
1459	255	255
1460	255	255
1461	255	255
1462	255	255
1463	255	255
1464	255	255
1465	255	255
1466	255	255
1467	255	255
1468	255	255
1469	255	255
1470	255	255
1471	255	255
1472	255	255
1473	255	255
1474	255	255
1475	255	255
1476	255	255
1477	255	255
1478	255	255
1479	255	255
1480	255	255
1481	255	255
1482	37	21
1483	255	255
1484	255	255
1485	255	255
1486	255	255
1487	42	24
1488	255	255
1489	255	255
1490	255	255
1491	255	255
1492	255	255
1493	255	255
1494	255	255
1495	255	255
1496	255	255
1497	21	14
1498	255	255
1499	255	255
1500	255	255
1501	255	255
1502	255	255
1503	255	255
1504	255	255
1505	255	255
1506	255	255
1507	255	255
1508	255	255
1509	255	255
1510	32	23
1511	255	255
1512	39	17
1513	31	12
1514	255	255
1515	255	255
1516	255	255
1517	255	255
1518	255	255
1519	16	11
1520	255	255
1521	255	255
1522	255	255
1523	255	255
1524	255	255
1525	255	255
1526	26	25
1527	255	255
1528	255	255
1529	42	29
1530	255	255
1531	255	255
1532	255	255
1533	32	28
1534	255	255
1535	255	255
1536	10	9
1537	255	255
1538	19	2
1539	255	255
1540	19	1
1541	38	23
1542	19	255
1543	19	0
1544	255	255
1545	255	255
1546	255	255
1547	255	255
1548	37	17
1549	255	255
1550	19	3
1551	255	255
1552	255	255
1553	255	255
1554	255	255
1555	255	255
1556	255	255
1557	255	255
1558	19	4
1559	255	255
1560	255	255
1561	255	255
1562	255	255
1563	255	255
1564	255	255
1565	255	255
1566	38	28
1567	17	14
1568	255	255
1569	255	255
1570	255	255
1571	23	15
1572	26	7
1573	43	36
1574	19	5
1575	255	255
1576	255	255
1577	255	255
1578	13	8
1579	255	255
1580	255	255
1581	255	255
1582	39	21
1583	255	255
1584	255	255
1585	255	255
1586	255	255
1587	41	10
1588	255	255
1589	255	255
1590	255	255
1591	255	255
1592	28	15
1593	255	255
1594	40	36
1595	255	255
1596	31	6
1597	255	255
1598	255	255
1599	255	255
1600	255	255
1601	255	255
1602	255	255
1603	255	255
1604	255	255
1605	255	255
1606	19	6
1607	37	11
1608	255	255
1609	255	255
1610	255	255
1611	255	255
1612	255	255
1613	255	255
1614	255	255
1615	255	255
1616	255	255
1617	255	255
1618	255	255
1619	255	255
1620	14	11
1621	42	41
1622	255	255
1623	255	255
1624	255	255
1625	255	255
1626	255	255
1627	255	255
1628	31	5
1629	255	255
1630	255	255
1631	34	8
1632	255	255
1633	255	255
1634	21	16
1635	255	255
1636	255	255
1637	255	255
1638	42	9
1639	255	255
1640	255	255
1641	33	20
1642	255	255
1643	255	255
1644	31	4
1645	40	35
1646	255	255
1647	255	255
1648	255	255
1649	255	255
1650	43	35
1651	255	255
1652	31	3
1653	255	255
1654	255	255
1655	255	255
1656	31	2
1657	255	255
1658	255	255
1659	255	255
1660	31	255
1661	31	0
1662	31	1
1663	255	255
1664	255	255
1665	255	255
1666	255	255
1667	24	13
1668	26	5
1669	255	255
1670	19	7
1671	40	14
1672	255	255
1673	255	255
1674	255	255
1675	43	37
1676	255	255
1677	255	255
1678	255	255
1679	22	9
1680	255	255
1681	255	255
1682	255	255
1683	255	255
1684	40	37
1685	255	255
1686	255	255
1687	255	255
1688	43	14
1689	255	255
1690	255	255
1691	255	255
1692	255	255
1693	33	32
1694	255	255
1695	255	255
1696	26	2
1697	255	255
1698	36	17
1699	255	255
1700	26	255
1701	26	0
1702	26	1
1703	255	255
1704	255	255
1705	255	255
1706	255	255
1707	255	255
1708	26	3
1709	255	255
1710	255	255
1711	255	255
1712	255	255
1713	255	255
1714	255	255
1715	255	255
1716	26	4
1717	29	13
1718	255	255
1719	255	255
1720	255	255
1721	255	255
1722	255	255
1723	255	255
1724	41	22
1725	255	255
1726	35	11
1727	255	255
1728	34	29
1729	255	255
1730	255	255
1731	255	255
1732	255	255
1733	27	21
1734	255	255
1735	255	255
1736	255	255
1737	255	255
1738	255	255
1739	255	255
1740	255	255
1741	255	255
1742	255	255
1743	255	255
1744	255	255
1745	255	255
1746	255	255
1747	255	255
1748	255	255
1749	255	255
1750	255	255
1751	255	255
1752	255	255
1753	255	255
1754	255	255
1755	255	255
1756	255	255
1757	255	255
1758	255	255
1759	255	255
1760	255	255
1761	255	255
1762	255	255
1763	255	255
1764	26	6
1765	255	255
1766	255	255
1767	255	255
1768	255	255
1769	36	11
1770	255	255
1771	255	255
1772	255	255
1773	255	255
1774	255	255
1775	255	255
1776	255	255
1777	255	255
1778	255	255
1779	255	255
1780	255	255
1781	35	17
1782	34	24
1783	255	255
1784	255	255
1785	255	255
1786	255	255
1787	255	255
1788	31	7
1789	255	255
1790	255	255
1791	255	255
1792	255	255
1793	255	255
1794	255	255
1795	18	10
1796	255	255
1797	255	255
1798	19	8
1799	255	255
1800	255	255
1801	255	255
1802	13	5
1803	255	255
1804	255	255
1805	26	24
1806	255	255
1807	255	255
1808	255	255
1809	255	255
1810	255	255
1811	255	255
1812	255	255
1813	255	255
1814	255	255
1815	255	255
1816	255	255
1817	255	255
1818	22	12
1819	38	11
1820	255	255
1821	255	255
1822	255	255
1823	34	6
1824	255	255
1825	255	255
1826	13	3
1827	255	255
1828	255	255
1829	255	255
1830	255	255
1831	255	255
1832	13	1
1833	255	255
1834	13	255
1835	13	0
1836	255	255
1837	33	27
1838	13	2
1839	255	255
1840	255	255
1841	255	255
1842	255	255
1843	255	255
1844	42	25
1845	255	255
1846	255	255
1847	255	255
1848	255	255
1849	255	255
1850	13	4
1851	29	26
1852	255	255
1853	15	11
1854	30	10
1855	255	255
1856	255	255
1857	255	255
1858	37	28
1859	255	255
1860	255	255
1861	255	255
1862	255	255
1863	255	255
1864	255	255
1865	255	255
1866	23	14
1867	255	255
1868	255	255
1869	255	255
1870	255	255
1871	34	4
1872	38	17
1873	28	14
1874	25	10
1875	255	255
1876	255	255
1877	255	255
1878	255	255
1879	34	3
1880	42	30
1881	37	23
1882	255	255
1883	34	2
1884	255	255
1885	34	1
1886	34	0
1887	34	255
1888	255	255
1889	255	255
1890	255	255
1891	255	255
1892	255	255
1893	42	18
1894	255	255
1895	255	255
1896	255	255
1897	255	255
1898	13	6
1899	255	255
1900	255	255
1901	255	255
1902	255	255
1903	255	255
1904	255	255
1905	255	255
1906	255	255
1907	255	255
1908	255	255
1909	32	21
1910	17	15
1911	255	255
1912	255	255
1913	255	255
1914	255	255
1915	255	255
1916	31	8
1917	255	255
1918	255	255
1919	34	5
1920	255	255
1921	21	20
1922	255	255
1923	255	255
1924	255	255
1925	255	255
1926	255	255
1927	255	255
1928	255	255
1929	255	255
1930	33	16
1931	255	255
1932	22	18
1933	255	255
1934	255	255
1935	255	255
1936	255	255
1937	255	255
1938	255	255
1939	255	255
1940	255	255
1941	12	10
1942	255	255
1943	255	255
1944	255	255
1945	29	19
1946	255	255
1947	255	255
1948	255	255
1949	255	255
1950	255	255
1951	255	255
1952	35	23
1953	255	255
1954	255	255
1955	255	255
1956	26	8
1957	255	255
1958	255	255
1959	255	255
1960	255	255
1961	255	255
1962	13	7
1963	255	255
1964	255	255
1965	255	255
1966	255	255
1967	24	19
1968	255	255
1969	30	22
1970	255	255
1971	255	255
1972	255	255
1973	255	255
1974	255	255
1975	255	255
1976	255	255
1977	255	255
1978	255	255
1979	35	28
1980	255	255
1981	255	255
1982	255	255
1983	255	255
1984	255	255
1985	255	255
1986	255	255
1987	255	255
1988	255	255
1989	255	255
1990	39	33
1991	255	255
1992	40	38
1993	255	255
1994	255	255
1995	255	255
1996	255	255
1997	255	255
1998	255	255
1999	255	255
2000	255	255
2001	255	255
2002	255	255
2003	255	255
2004	255	255
2005	31	24
2006	255	255
2007	43	38
2008	255	255
2009	255	255
2010	255	255
2011	255	255
2012	255	255
2013	25	22
2014	255	255
2015	34	7
2016	255	255
2017	255	255
2018	255	255
2019	31	29
2020	255	255
2021	255	255
2022	255	255
2023	255	255
2024	255	255
2025	255	255
2026	255	255
2027	255	255
2028	36	28
2029	255	255
2030	40	15
2031	255	255
2032	255	255
2033	43	15
2034	255	255
2035	42	12
2036	255	255
2037	255	255
2038	255	255
2039	36	23
2040	255	255
2041	255	255
2042	255	255
2043	255	255
2044	255	255
2045	255	255
2046	255	255
2047	255	255
2048	11	255
2049	11	0
2050	11	1
2051	255	255
2052	11	2
2053	28	8
2054	255	255
2055	255	255
2056	11	3
2057	255	255
2058	255	255
2059	17	6
2060	20	10
2061	255	255
2062	255	255
2063	255	255
2064	11	4
2065	255	255
2066	255	255
2067	255	255
2068	255	255
2069	255	255
2070	255	255
2071	15	13
2072	21	12
2073	255	255
2074	35	26
2075	255	255
2076	255	255
2077	255	255
2078	23	8
2079	255	255
2080	11	5
2081	255	255
2082	255	255
2083	255	255
2084	255	255
2085	255	255
2086	255	255
2087	255	255
2088	31	14
2089	255	255
2090	255	255
2091	255	255
2092	255	255
2093	255	255
2094	255	255
2095	255	255
2096	255	255
2097	38	13
2098	255	255
2099	255	255
2100	255	255
2101	255	255
2102	255	255
2103	255	255
2104	255	255
2105	255	255
2106	255	255
2107	37	31
2108	255	255
2109	255	255
2110	255	255
2111	255	255
2112	11	6
2113	37	19
2114	255	255
2115	17	3
2116	38	34
2117	255	255
2118	255	255
2119	255	255
2120	255	255
2121	17	1
2122	17	0
2123	17	255
2124	43	7
2125	36	26
2126	255	255
2127	17	2
2128	255	255
2129	255	255
2130	19	14
2131	40	7
2132	255	255
2133	255	255
2134	41	33
2135	255	255
2136	255	255
2137	255	255
2138	255	255
