Loc	XOR	
00010000000000000000000000000000000001000000	100010010011	
00100000000000000000000000000000000001000000	001001110011	
01000000000000000000000000000000000001000000	010000100110	
10000000000000000000000000000000000001000000	100010001100	
00000000000000000000000000000000000110000000	000110000000	
00000000000000000000000000000000001010000000	001010000000	
00000000000000000000000000000000010010000000	010010000000	
00000000000000000000000000000000100010000000	100010000000	
00000000000000000000000000000001000010000000	001100010101	
00000000000000000000000000000010000010000000	011110101010	
00000000000000000000000000000100000010000000	111011010100	
00000000000000000000000000001000000010000000	111110111101	
00000000000000000000000000010000000010000000	110101101111	
00000000000000000000000000100000000010000000	100011001011	
00000000000000000000000001000000000010000000	001110000011	
00000000000000000000000010000000000010000000	011010000110	
00000000000000000000000100000000000010000000	110010001100	
00000000000000000000001000000000000010000000	101100001101	
00000000000000000000010000000000000010000000	010000001111	
00000000000000000000100000000000000010000000	100110011110	
00000000000000000001000000000000000010000000	000100101001	
00000000000000000010000000000000000010000000	001111010010	
00000000000000000100000000000000000010000000	011000100100	
00000000000000001000000000000000000010000000	110111001000	
00000000000000010000000000000000000010000000	100110000101	
00000000000000100000000000000000000010000000	000100011111	
00000000000001000000000000000000000010000000	001110111110	
00000000000010000000000000000000000010000000	011011111100	
00000000000100000000000000000000000010000000	110001111000	
00000000001000000000000000000000000010000000	101011100101	
00000000010000000000000000000000000010000000	011111011111	
00000000100000000000000000000000000010000000	111000111110	
00000001000000000000000000000000000010000000	111001101001	
00000010000000000000000000000000000010000000	111011000111	
00000100000000000000000000000000000010000000	111110011011	
00001000000000000000000000000000000010000000	110100100011	
00010000000000000000000000000000000010000000	100001010011	
00100000000000000000000000000000000010000000	001010110011	
01000000000000000000000000000000000010000000	010011100110	
10000000000000000000000000000000000010000000	100001001100	
00000000000000000000000000000000001100000000	001100000000	
00000000000000000000000000000000010100000000	010100000000	
00000000000000000000000000000000100100000000	100100000000	
00000000000000000000000000000001000100000000	001010010101	
00000000000000000000000000000010000100000000	011000101010	
00000000000000000000000000000100000100000000	111101010100	
00000000000000000000000000001000000100000000	111000111101	
00000000000000000000000000010000000100000000	110011101111	
00000000000000000000000000100000000100000000	100101001011	
00000000000000000000000001000000000100000000	001000000011	
00000000000000000000000010000000000100000000	011100000110	
00000000000000000000000100000000000100000000	110100001100	
00000000000000000000001000000000000100000000	101010001101	
00000000000000000000010000000000000100000000	010110001111	
00000000000000000000100000000000000100000000	100000011110	
00000000000000000001000000000000000100000000	000010101001	
00000000000000000010000000000000000100000000	001001010010	
00000000000000000100000000000000000100000000	011110100100	
00000000000000001000000000000000000100000000	110001001000	
00000000000000010000000000000000000100000000	100000000101	
00000000000000100000000000000000000100000000	000010011111	
00000000000001000000000000000000000100000000	001000111110	
00000000000010000000000000000000000100000000	011101111100	
00000000000100000000000000000000000100000000	110111111000	
00000000001000000000000000000000000100000000	101101100101	
00000000010000000000000000000000000100000000	011001011111	
00000000100000000000000000000000000100000000	111110111110	
00000001000000000000000000000000000100000000	111111101001	
00000010000000000000000000000000000100000000	111101000111	
00000100000000000000000000000000000100000000	111000011011	
00001000000000000000000000000000000100000000	110010100011	
00010000000000000000000000000000000100000000	100111010011	
00100000000000000000000000000000000100000000	001100110011	
01000000000000000000000000000000000100000000	010101100110	
10000000000000000000000000000000000100000000	100111001100	
00000000000000000000000000000000011000000000	011000000000	
00000000000000000000000000000000101000000000	101000000000	
00000000000000000000000000000001001000000000	000110010101	
00000000000000000000000000000010001000000000	010100101010	
00000000000000000000000000000100001000000000	110001010100	
00000000000000000000000000001000001000000000	110100111101	
00000000000000000000000000010000001000000000	111111101111	
00000000000000000000000000100000001000000000	101001001011	
00000000000000000000000001000000001000000000	000100000011	
00000000000000000000000010000000001000000000	010000000110	
00000000000000000000000100000000001000000000	111000001100	
00000000000000000000001000000000001000000000	100110001101	
00000000000000000000010000000000001000000000	011010001111	
00000000000000000000100000000000001000000000	101100011110	
00000000000000000001000000000000001000000000	001110101001	
00000000000000000010000000000000001000000000	000101010010	
00000000000000000100000000000000001000000000	010010100100	
00000000000000001000000000000000001000000000	111101001000	
00000000000000010000000000000000001000000000	101100000101	
00000000000000100000000000000000001000000000	001110011111	
00000000000001000000000000000000001000000000	000100111110	
00000000000010000000000000000000001000000000	010001111100	
00000000000100000000000000000000001000000000	111011111000	
00000000001000000000000000000000001000000000	100001100101	
00000000010000000000000000000000001000000000	010101011111	
00000000100000000000000000000000001000000000	110010111110	
00000001000000000000000000000000001000000000	110011101001	
00000010000000000000000000000000001000000000	110001000111	
00000100000000000000000000000000001000000000	110100011011	
00001000000000000000000000000000001000000000	111110100011	
00010000000000000000000000000000001000000000	101011010011	
00100000000000000000000000000000001000000000	000000110011	
01000000000000000000000000000000001000000000	011001100110	
10000000000000000000000000000000001000000000	101011001100	
00000000000000000000000000000000110000000000	110000000000	
00000000000000000000000000000001010000000000	011110010101	
00000000000000000000000000000010010000000000	001100101010	
00000000000000000000000000000100010000000000	101001010100	
00000000000000000000000000001000010000000000	101100111101	
00000000000000000000000000010000010000000000	100111101111	
00000000000000000000000000100000010000000000	110001001011	
00000000000000000000000001000000010000000000	011100000011	
00000000000000000000000010000000010000000000	001000000110	
00000000000000000000000100000000010000000000	100000001100	
00000000000000000000001000000000010000000000	111110001101	
00000000000000000000010000000000010000000000	000010001111	
00000000000000000000100000000000010000000000	110100011110	
00000000000000000001000000000000010000000000	010110101001	
00000000000000000010000000000000010000000000	011101010010	
00000000000000000100000000000000010000000000	001010100100	
00000000000000001000000000000000010000000000	100101001000	
00000000000000010000000000000000010000000000	110100000101	
00000000000000100000000000000000010000000000	010110011111	
00000000000001000000000000000000010000000000	011100111110	
00000000000010000000000000000000010000000000	001001111100	
00000000000100000000000000000000010000000000	100011111000	
00000000001000000000000000000000010000000000	111001100101	
00000000010000000000000000000000010000000000	001101011111	
00000000100000000000000000000000010000000000	101010111110	
00000001000000000000000000000000010000000000	101011101001	
00000010000000000000000000000000010000000000	101001000111	
00000100000000000000000000000000010000000000	101100011011	
00001000000000000000000000000000010000000000	100110100011	
00010000000000000000000000000000010000000000	110011010011	
00100000000000000000000000000000010000000000	011000110011	
01000000000000000000000000000000010000000000	000001100110	
10000000000000000000000000000000010000000000	110011001100	
00000000000000000000000000000001100000000000	101110010101	
